dataset,split,model,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,n_train,n_val,n_test,epochs,train_time_h,units
mp_gap,index,coNGN,0.008230547442551967,0.0877225346823125,0.9969912104162358,0.19249875396303365,0.4783336398283452,0.910881756643488,0.2001135973461035,0.49657425137027555,0.9032693724778488,74267,10608,21214,600,22.4927,eV
mp_gap,periodictablegroups,coGN,0.00456142441749108,0.05557988784933599,0.9988803246563527,0.19632170537456897,0.46842625334079707,0.9182711667356439,0.4286794550090019,0.8571149177263268,0.5769176316507774,70463,10068,25558,800,2.9157,eV
mp_gap,periodictablegroups,coNGN,0.007083111888250707,0.08229528882242983,0.997545253044683,0.19243896995945906,0.46792931818212985,0.9184444806247275,0.4850337572245963,0.9500357751252225,0.4802114143389422,70463,10068,25558,600,22.1192,eV
mp_gap,pointgroup,coGN,0.004006024594991917,0.03903889348282366,0.9994069734472999,0.17526659862226784,0.4496686433758618,0.9222601748470863,0.31235016645052127,0.6225301395577749,0.8420897923530465,75301,10753,20035,800,2.9487,eV
mp_gap,pointgroup,coNGN,0.008035074806801441,0.10037107829759168,0.9960799074549976,0.17610394569942467,0.462762255247201,0.9176669490178767,0.29876753087946145,0.6091438471712075,0.8488078776793833,75301,10753,20035,600,18.1197,eV
mp_gap,sgnum,coGN,0.004011886417258713,0.04901338007801901,0.9990631536819701,0.17948807526151234,0.4415879300298377,0.9224944379809973,0.293470466432541,0.6331711605971417,0.8427961433890039,74732,10677,20680,800,3.2534,eV
mp_gap,sgnum,coNGN,0.007863535659319314,0.08113890665206745,0.997432577459077,0.1859984742095082,0.4711466808951394,0.9117711226350925,0.2930715789032231,0.6417290355501605,0.8385179238261512,74732,10677,20680,600,22.4033,eV
perovskites,chemsys,coGN,0.00047557402620070196,0.0017464715586576385,0.9999944664797507,0.030113256946836163,0.06345490725130247,0.9929785811168148,0.026911157443666952,0.046024430999675056,0.9960770093894061,13249,1892,3787,800,0.8501,eV/unit cell
perovskites,chemsys,coNGN,0.0007718022490024955,0.0017068558556502808,0.9999947146693581,0.03164286895546802,0.06310914122301456,0.993054892115168,0.02947229959543107,0.04888320648777107,0.9955745260981073,13249,1892,3787,600,1.6224,eV/unit cell
perovskites,composition,coGN,0.00042416128971081886,0.000547449823006469,0.9999994572597709,0.028943085034877955,0.0531271913566271,0.9946711671634015,0.03042858680956411,0.06557355530481702,0.9922999437731179,13259,1894,3775,800,0.8414,eV/unit cell
perovskites,composition,coNGN,0.00037721556617718735,0.0004969859591135452,0.9999995527075036,0.030837938510857078,0.05759006268271647,0.9937382822828992,0.032059496775629706,0.06558793397557419,0.9922965665363188,13259,1894,3775,600,1.0535,eV/unit cell
perovskites,crystalsys,coGN,0.00035205848542242446,0.0004607006444127325,0.9999995594592589,0.025341787645329347,0.04830027455388858,0.9946798923541569,0.08839577620684574,0.13027742202484327,0.980394097329276,13837,1976,3115,800,0.4438,eV/unit cell
perovskites,crystalsys,coNGN,0.00040401037169939886,0.000517296756177285,0.9999994445717707,0.028875519093955578,0.05560863860086627,0.9929481064686534,0.09113026169841876,0.12844367636196,0.9809421464386813,13837,1976,3115,600,1.1571,eV/unit cell
perovskites,elements,coGN,0.0003717131527455189,0.0004881052984051664,0.999999534951362,0.028542632568015768,0.06015230492720508,0.9932579651602892,0.35843769707647305,0.4556992831995611,0.6939019087723296,12961,1851,4116,800,0.3874,eV/unit cell
perovskites,elements,coNGN,0.0004130308426791292,0.0007835037634714141,0.9999988017332551,0.032107976529966616,0.06346287131921435,0.9924954288301164,0.3299526276194334,0.4128893755183459,0.7487122336438367,12961,1851,4116,600,1.0349,eV/unit cell
perovskites,index,coGN,0.00046027816231299074,0.0006431831927926074,0.9999992629099235,0.0294433632464666,0.06684265301244682,0.9915377664626828,0.0284801132917414,0.057274009449785786,0.9937786121162775,13251,1892,3785,800,0.8754,eV/unit cell
perovskites,index,coNGN,0.0005420095668327887,0.000723627675305269,0.9999990670002523,0.031001973902377408,0.06230941840815225,0.9926466532791656,0.030615028134700965,0.060114945241800916,0.99314611178234,13251,1892,3785,600,1.6307,eV/unit cell
